timestamp,num_pkts,avg_ttl,median_ttl,10_percentil_ttl,25_percentil_ttl,75_percentil_ttl,90_percentil_ttl,max_ttl,min_ttl,attack,test_categorical
1575,43,81.2558139534884,64,52,64,64,199.200000000001,224,35,No,43
1580,12,129,64,64,64,224,224,224,44,No,12
1585,26,110.461538461538,64,50.5,64,208,224,224,35,No,26
1590,11,120.363636363636,64,64,64,224,224,224,44,No,11
1595,20,112.05,64,35,64,224,224,224,35,No,20
1600,12,129,64,64,64,224,224,224,44,No,12
1605,26,92.9230769230769,64,49,55,91,224,224,35,No,26
1610,11,120.363636363636,64,64,64,224,224,224,44,No,11
1615,28,76.1071428571429,64,44,64,73,100,208,35,Yes,28
1620,14,119.714285714286,64,64,64,224,224,224,44,No,14
1625,18,115.944444444444,64,49.6,64,224,224,224,35,No,18
1630,13,124,64,64,64,224,224,224,44,No,13
1635,16,69,64,46.5,64,73,100,100,35,Yes,16
1640,11,123.636363636364,64,64,64,224,224,224,44,No,11
1645,27,101.259259259259,64,47,64,154,224,224,22,No,27
1650,25,135.6,64,47,47,224,255,255,44,No,25
1655,30,138.133333333333,64,47,47,255,255,255,35,No,30
1660,17,118.294117647059,64,42.4,64,224,224,255,40,No,17
1665,25,69.32,64,46,64,100,100,100,35,Yes,25
1670,15,75.1333333333333,64,52,64,100,100,100,35,Yes,15
1675,16,133,82,64,64,224,224,224,44,No,16
1680,13,71.3076923076923,64,48,64,100,100,100,35,Yes,13
1685,16,122,64,58,64,224,224,224,44,No,16
1690,16,113.1875,64,54,64,224,224,224,35,No,16
1695,13,89,64,64,64,100,100,224,49,Yes,13
1700,14,71.9285714285714,64,44,64,100,100,100,35,Yes,14
1705,19,109.789473684211,64,51.4,64,208,224,224,49,No,19
1710,14,108.785714285714,64,50,64,193,224,224,35,No,14
1715,13,136.307692307692,64,64,64,224,224,224,44,No,13
1720,15,116.466666666667,64,52,64,224,224,224,35,No,15
1725,18,105,64,49,64,184,224,224,44,No,18
1730,21,108.761904761905,64,44,64,224,224,224,35,No,21
1735,35,83.2,64,44,64,64,208,208,44,Yes,35
1740,14,120.214285714286,64,50,64,224,224,224,35,No,14
1745,19,72.5263157894737,64,42.2,64,100,100,100,35,Yes,19
1750,37,65.5675675675676,64,64,64,64,78.3999999999999,100,22,Yes,37
1755,19,114.947368421053,64,48,64,224,224,224,35,No,19
1760,10,126,64,62,64,224,224,224,44,No,10
1765,22,104.409090909091,64,50.2,64,181,224,224,35,No,22
1770,26,90.3461538461538,64,48,52.75,64,224,224,44,No,26
1775,21,90.8095238095238,64,48,48,64,224,224,35,No,21
1780,10,76.4,64,62,64,100,100,100,44,Yes,10
1785,22,97.8636363636364,64,49,64,91,224,224,35,No,22
1790,39,70.974358974359,64,55,64,82,100,100,44,Yes,39
1795,17,92.4705882352941,64,64,64,100,143.2,208,44,Yes,17
1800,13,121.769230769231,64,48,64,224,224,224,35,No,13
1805,18,73,64,41.3,64,100,100,100,35,Yes,18
1810,12,74.3333333333333,64,64,64,100,100,100,44,Yes,12
1815,20,112.4,64,48.5,64,224,224,224,35,No,20
1820,14,131.142857142857,64,64,64,224,224,224,44,No,14
1825,19,111.526315789474,64,50.4,64,208,224,224,35,No,19
1830,15,91.8666666666667,64,49,58,64,224,224,44,No,15
1835,11,74.0909090909091,64,40,48,64,100,224,35,No,11
1840,20,74.2,64,48,48,73,100,224,44,Yes,20
1845,14,66.0714285714286,64,45.5,52.75,64,100,100,35,Yes,14
1850,17,118.470588235294,64,58.4,64,224,224,224,44,No,17
1855,23,117.173913043478,64,54.4,64,216,224,224,35,No,23
1860,12,129,64,64,64,224,224,224,44,No,12
1865,14,109.285714285714,64,37.7,64,193,224,224,35,No,14
1870,13,124,64,64,64,224,224,224,44,No,13
1875,20,72.05,64,48.5,61,100,100,100,35,Yes,20
1880,13,77.8461538461538,64,64,64,100,100,100,64,Yes,13
1885,24,107.333333333333,64,45.5,64,208,224,224,35,No,24
1890,10,144,144,64,64,224,224,224,64,No,10
1895,22,98.9545454545454,64,35.9,55,100,224,224,35,No,22
1900,12,129.416666666667,64,64,64,224,224,224,49,No,12
1905,20,94.2,64,43.1,60.25,100,224,224,35,No,20
1910,15,69.4,64,46.4,64,82,100,100,35,Yes,15
1915,45,90.8888888888889,64,64,64,64,224,224,22,No,45
1920,14,120.214285714286,64,50,64,224,224,224,35,No,14
1925,13,71.6923076923077,64,48,64,100,100,100,40,Yes,13
1930,15,104.4,64,43.4,64,162,224,224,35,No,15
1935,17,98.8823529411765,64,50.8,64,64,224,224,44,No,17
1940,14,84.7857142857143,64,50,64,100,100,224,35,Yes,14
1945,14,107.5,64,53.5,64,181,219.2,224,44,No,14
1950,19,85,64,60,64,100,100,224,35,Yes,19
1955,12,117.666666666667,64,53.2,64,224,224,224,44,No,12
1960,16,112.4375,64,48,64,224,224,224,35,No,16
1965,15,115,64,55,64,224,224,224,44,No,15
1970,15,65.0666666666667,64,38.6,57,64,100,100,35,Yes,15
1975,24,140.5,154,64,64,211,224,224,44,No,24
1980,19,113.210526315789,64,50.4,64,224,224,224,35,No,19
1985,14,131.142857142857,64,64,64,224,224,224,44,No,14
1990,10,94.7,64,43.1,64,91,224,224,35,No,10
1995,13,110.538461538462,64,52,64,224,224,224,44,No,13
2000,18,106.277777777778,64,48.2,64,193,224,224,35,No,18
2005,22,111.181818181818,64,50.5,64,208,224,224,44,No,22
2010,14,120.214285714286,64,50,64,224,224,224,35,No,14
2015,19,120.631578947368,64,60,64,224,224,224,40,No,19
2020,20,63.95,64,33.7,61,64,100,100,22,Yes,20
2025,15,73.6666666666667,64,55,64,100,100,100,44,Yes,15
2030,14,111.857142857143,82,37.7,64,193,224,224,35,No,14
2035,20,116.7,64,62.6,64,212,224,224,44,No,20
2040,33,72.9393939393939,64,64,64,64,64,224,35,No,33
2045,15,106.266666666667,64,38.6,64,162,224,224,35,No,15
2050,13,136.307692307692,64,64,64,224,224,224,44,No,13
